X1,Y1,X2,Y2
0.0,0.0,1.4271e12,0.0
69.5108397804963,0.0,1.4270999999304893e12,8.36352e8
278.04328752764036,0.08147361774048659,1.4270999997219568e12,1.6727039999185264e9
625.5971284587665,0.3258942192469174,1.4270999993744028e12,2.5090559996741056e9
1112.1720046039943,0.8147346671168527,1.427099998887828e12,3.345407999185265e9
1737.7674148080716,1.6294670688114068,1.4270999982622324e12,4.181759998370533e9
2502.3827147329553,2.851562524953181,1.427099997497617e12,5.0181119971484375e9
3406.017116861129,4.562490877632835,1.4270999965939827e12,5.85446399543751e9
4448.66969049966,6.843720458726464,1.42709999555133e12,6.6908159931562805e9
5630.339361784988,9.776717838225927,1.4270999943696604e12,7.527167990223283e9
6951.024913688459,13.442947572584302,1.4270999930489749e12,8.363519986557053e9
8410.724986022586,17.923871953078624,1.4270999915892747e12,9.199871982076128e9
10009.43807544806,23.300950754192044,1.4270999899905615e12,1.0036223976699049e10
11747.162535481486,29.65564098201761,1.4270999882528372e12,1.0872575970344358e10
13623.896576503857,37.06939662268577,1.427099986376103e12,1.1708927962930603e10
15639.638265769776,45.62366839081782,1.4270999843603613e12,1.2545279954376331e10
17794.385527417402,55.3999034780074,1.4270999822056143e12,1.3381631944600098e10
20088.136142479132,66.47954530133224,1.4270999799118635e12,1.4217983933520456e10
22520.887748893037,78.94403325189823,1.4270999774791118e12,1.505433592105597e10
25092.63784151501,92.87480244341813,1.4270999749073618e12,1.58906879071252e10
27803.383772131667,108.35328346082689,1.427099972196616e12,1.6727039891646719e10
30653.12274947398,125.46090210893584,1.427099969346877e12,1.75633918745391e10
33641.85183923163,144.2790791611279,1.4270999663581477e12,1.8399743855720924e10
36769.56796406814,164.88923010809592,1.4270999632304316e12,1.923609583511077e10
40036.26790363668,187.37276490662637,1.4270999599637317e12,2.0072447812627235e10
43441.94829459667,211.81108772843046,1.4270999565580513e12,2.090879978818891e10
46986.60563063105,238.28559670902487,1.4270999530133938e12,2.17451517617144e10
50670.23626246438,266.87768369666423,1.4270999493297632e12,2.2581503733122314e10
54492.836397881554,297.6687340013276,1.4270999455071628e12,2.341785570233126e10
58454.402101747364,330.7401261437609,1.4270999415455972e12,2.425420766925987e10
62554.92929602671,366.1732316045775,1.42709993744507e12,2.5090559633826763e10
66794.41375980561,404.0494145734194,1.4270999332055857e12,2.592691159595058e10
71172.8511293129,444.45003169818085,1.4270999288271482e12,2.676326355554996e10
75690.23689794267,487.4564318342961,1.4270999243097625e12,2.759961551254356e10
80346.56641627745,533.1499557940949,1.4270999196534329e12,2.8435967466850033e10
85141.83489211217,581.6119360962259,1.4270999148581643e12,2.9272319418388054e10
90076.0373904787,632.9236967151521,1.4270999099239617e12,3.0108671367076294e10
95149.16883367133,687.1665528307187,1.4270999048508303e12,3.0945023312833435e10
100361.22400127284,744.4218105777968,1.4270998996387751e12,3.1781375255578175e10
105712.19753018138,804.7707667960041,1.4270998942878015e12,3.2617727195229218e10
111202.08391463793,868.2947087795059,1.427099888797915e12,3.3454079131705273e10
116830.8775062547,935.0749140268973,1.4270998831691213e12,3.4290431064925068e10
122598.5725140442,1005.1926499911698,1.4270998774014263e12,3.5126782994807335e10
128505.16300444887,1078.729173829763,1.4270998714948357e12,3.5963134921270805e10
134550.64290137173,1155.7657321547058,1.4270998654493557e12,3.6799486844234245e10
140735.00598620746,1236.3835607828464,1.4270998592649927e12,3.763583876361642e10
147058.24589787447,1320.6638844861757,1.4270998529417527e12,3.84721906793361e10
153520.3561328475,1408.6879167422455,1.4270998464796426e12,3.9308542591312065e10
160121.33004519108,1500.5368594846825,1.4270998398786687e12,4.014489449946313e10
166861.16084659367,1596.291902853801,1.427099833138838e12,4.0981246403708084e10
173739.8416064025,1696.0342249473176,1.427099826260157e12,4.181759830396577e10
180757.36525165912,1799.8449915711678,1.4270998192426333e12,4.2653950200155e10
187913.72456713583,1907.8053559904288,1.4270998120862742e12,4.349030209219463e10
195208.91219537263,2019.9964586803483,1.4270998047910867e12,4.4326653980003525e10
202642.92063671505,2136.4994270774832,1.4270997973570781e12,4.516300586350056e10
210215.74224935262,2257.395375330951,1.4270997897842566e12,4.5999357742604614e10
217927.36924935813,2382.765404053793,1.4270997820726296e12,4.683570961723459e10
225777.79371072754,2512.690600074454,1.4270997742222053e12,4.7672061487309395e10
233767.00756542056,2647.2520361883785,1.4270997662329915e12,4.8508413352747955e10
241895.0026034023,2786.530770909731,1.4270997581049963e12,4.934476521346922e10
250161.77047268514,2930.607848223233,1.4270997498382285e12,5.018111706939214e10
258567.30267937164,3079.564297336126,1.4270997414326963e12,5.101746892043569e10
267111.5905876982,3233.481132430264,1.4270997328884082e12,5.185382076651885e10
275794.6254200792,3392.4393524143293,1.4270997242053733e12,5.269017260756063e10
284616.3982571521,3556.5199406761803,1.4270997153836006e12,5.352652444348004e10
293576.9000378232,3725.8038648353345,1.4270997064230989e12,5.436287627419611e10
302676.1215593139,3900.3720764955838,1.4270996973238774e12,5.51992280996279e10
311914.053477208,4080.305510997744,1.4270996880859456e12,5.6035579919694466e10
321290.6863054997,4265.685087172549,1.4270996787093127e12,5.687193173431489e10
330806.01041664195,4456.591707093682,1.4270996691939885e12,5.770828354340827e10
340460.01604159595,4653.106255830947,1.427099659539983e12,5.854463534689372e10
350252.69326988107,4855.309601203593,1.427099649747306e12,5.938098714469038e10
360184.03204962576,5063.282593533779,1.427099639815967e12,6.021733893671738e10
370254.0221876188,5277.1060654001885,1.4270996297459768e12,6.1053690722893906e10
380462.6533493616,5496.8608313917985,1.4270996195373457e12,6.1890042503139145e10
390809.9150591212,5722.6276878618,1.427099609190084e12,6.272639427737229e10
401295.79669998377,5954.487412681673,1.4270995987042021e12,6.3562746045512566e10
411920.2875139088,6192.520764995419,1.4270995880797112e12,6.439909780747921e10
422683.37660178455,6436.808484973956,1.427099577316622e12,6.523544956319149e10
433585.05292348325,6687.431293569673,1.4270995664149456e12,6.607180131256869e10
444625.305297918,6944.469892271142,1.427099555374693e12,6.690815305553009e10
455804.1224030998,7208.004962858011,1.427099544195876e12,6.774450479199502e10
467121.49277619534,7478.117167156047,1.4270995328785056e12,6.858085652188281e10
478577.40481358574,7754.887146792361,1.4270995214225938e12,6.941720824511284e10
490171.84677092574,8038.3955229508,1.4270995098281519e12,7.025355996160446e10
501904.80676320376,8328.722896127514,1.427099498095192e12,7.108991167127708e10
513776.2727648026,8625.949845886698,1.427099486223726e12,7.192626337405014e10
525786.232609561,8930.156930616511,1.4270994742137664e12,7.276261506984306e10
537934.6739908352,9241.424687285182,1.427099462065325e12,7.35989667585753e10
550221.5844615629,9559.833631197282,1.4270994497784143e12,7.443531844016637e10
562646.9514343255,9885.4642557502,1.4270994373530474e12,7.527167011453574e10
575210.7621814132,10218.397032190791,1.4270994247892366e12,7.610802178160295e10
587913.0038348897,10558.712409372218,1.427099412086995e12,7.694437344128757e10
600753.6633866578,10906.490813510978,1.4270993992463354e12,7.778072509350917e10
613732.7276885258,11261.812647944133,1.4270993862672712e12,7.861707673818733e10
626850.1834522744,11624.758292886714,1.4270993731498154e12,7.945342837524168e10
640106.0172497247,11995.40810518935,1.4270993598939817e12,8.028978000459187e10
653500.2155128065,12373.842418096063,1.4270993464997834e12,8.112613162615755e10
667032.7645336274,12760.141541002286,1.4270993329672346e12,8.196248323985843e10
680703.6504645428,13154.385759213079,1.4270993192963486e12,8.279883484561421e10
694512.8593182262,13556.65533370154,1.42709930548714e12,8.363518644334464e10
708460.3769677408,13967.030500867431,1.4270992915396223e12,8.447153803296947e10
722546.1891466109,14385.59147229601,1.4270992774538103e12,8.530788961440851e10
736770.281448895,14812.418434517067,1.427099263229718e12,8.614424118758154e10
751132.6393292588,15247.591548764187,1.42709924886736e12,8.698059275240842e10
765633.2481030496,15691.190950734208,1.4270992343667512e12,8.7816944308809e10
780272.0929463705,16143.296750346906,1.4270992197279065e12,8.86532958567032e10
795049.1588961561,16603.9890315049,1.4270992049508406e12,8.948964739601091e10
809964.4308502484,17073.347851853774,1.4270991900355686e12,9.032599892665208e10
825017.8935674739,17551.45324254241,1.4270991749821057e12,9.116235044854669e10
840209.5316677205,18038.38520798357,1.4270991597904678e12,9.199870196161473e10
855539.3296320162,18534.223725614676,1.42709914446067e12,9.283505346577621e10
871007.2718026077,19039.04874565883,1.4270991289927278e12,9.367140496095119e10
886613.3423830395,19552.940190886075,1.4270991133866572e12,9.450775644705974e10
902357.5254382351,20075.97795637487,1.4270990976424744e12,9.534410792402197e10
918239.8048945769,20608.24190927381,1.427099081760195e12,9.618045939175801e10
934260.164539988,21149.811888563563,1.4270990657398354e12,9.701681085018803e10
950418.5880240148,21700.767704819078,1.4270990495814119e12,9.785316229923222e10
966715.0588579098,22261.189139971997,1.427099033284941e12,9.868951373881079e10
983149.5604147146,22831.15594707333,1.4270990168504395e12,9.952586516884398e10
999722.0759293452,23410.747850056367,1.4270990002779238e12,1.0036221658925208e11
1.0164325884986761e6,24000.04454349984,1.4270989835674111e12,1.0119856799995537e11
